month,naics_code,kind_of_business,value
2024-12-01,no code,"Retail sales, total",702255
2024-06-01,no code,GAFO(1),129215
2024-01-01,no code,GAFO(1),111547
2023-12-01,451211,Book stores,1073
2023-07-01,no code,GAFO(1),128320
2023-05-01,45431,Fuel dealers,2505
2022-07-01,no code,"Retail sales, total",595135
2022-02-01,445,Food and beverage stores,70170
2021-03-01,4421,Furniture stores,7241
2020-06-01,no code,"Retail sales, total",478936
2020-01-01,4411,Automobile dealers,79658
2019-07-01,no code,GAFO(1),107154
2019-02-01,no code,GAFO(1),90899
2019-02-01,45431,Fuel dealers,3997
2018-12-01,44812,Women's clothing stores,4394
2018-06-01,44814,Family clothing stores,8752
2018-06-01,44819,Other clothing stores,1556
2024-12-01,no code,"Retail and food services sales, total",799769
2015-11-01,no code,GAFO(1),114973
2014-03-01,no code,GAFO(1),99364
2018-06-01,4482,Shoe stores,2853
2018-06-01,44831,Jewelry stores,2443
2012-01-01,no code,GAFO(1),83395
2011-06-01,no code,GAFO(1),92488
2017-11-01,443142,Electronics stores,8180
2017-08-01,451211,Book stores,1375
2010-11-01,454,Nonstore retailers,31867
2010-07-01,no code,GAFO(1),89423
2009-12-01,no code,GAFO(1),132928
2017-08-01,452,General merchandise stores,57859
2017-08-01,4521,Department stores,12155
2009-04-01,no code,GAFO(1),84743
2017-03-01,4521,Department stores,11681
2022-09-01,452111,Department stores(excl. discount department stores),2363
2007-07-01,no code,GAFO(1),89929
2022-09-01,452112,Discount dept. stores,8193
2022-07-01,44819,Other clothing stores,1547
2005-12-01,454,Nonstore retailers,29879
2005-09-01,no code,GAFO(1),81830
2005-02-01,4482,Shoe stores,1838
2022-07-01,4482,Shoe stores,3395
2004-05-01,no code,GAFO(1),80595
2022-05-01,4451,Grocery stores,72748
2022-01-01,no code,"Retail sales, total",514659
2002-08-01,no code,GAFO(1),78050
2002-07-01,454,Nonstore retailers,14308
2021-12-01,45431,Fuel dealers,4318
2021-08-01,44814,Family clothing stores,10193
2021-08-01,44819,Other clothing stores,1516
2001-01-01,454,Nonstore retailers,16639
2021-08-01,4482,Shoe stores,3892
2000-07-01,no code,GAFO(1),66631
2000-06-01,454,Nonstore retailers,13787
2021-06-01,4451,Grocery stores,65880
2020-11-01,4482,Shoe stores,2683
2020-11-01,44831,Jewelry stores,2993
2019-11-01,44819,Other clothing stores,1593
1997-08-01,no code,GAFO(1),60967
1997-07-01,454,Nonstore retailers,9495
2019-11-01,4482,Shoe stores,3116
2019-11-01,44831,Jewelry stores,2792
1995-06-01,454,Nonstore retailers,7411
2019-06-01,452,General merchandise stores,59002
1994-10-01,no code,GAFO(1),51601
1994-05-01,4421,Furniture stores,2860
1994-03-01,no code,GAFO(1),46882
1993-12-01,4482,Shoe stores,2177
1993-05-01,454,Nonstore retailers,6497
2019-06-01,4521,Department stores,10577
1992-12-01,no code,GAFO(1),78590
1992-10-01,454,Nonstore retailers,7275
1992-01-01,454,Nonstore retailers,6860
2019-04-01,44413,Hardware stores,2480
1997-02-01,44819,Other clothing stores,
2024-12-01,no code,Retail sales and food services excl motor vehicle and parts,659980
2024-12-01,no code,Retail sales and food services excl gasoline stations,751384
2024-12-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,611595
2024-12-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",562466
2024-12-01,no code,GAFO(1),172612
2024-12-01,441,Motor vehicle and parts dealers,139789
2024-12-01,"44,114,412",Automobile and other motor vehicle dealers,128881
2024-12-01,4411,Automobile dealers,123082
2024-12-01,44111,New car dealers,110853
2024-12-01,44112,Used car dealers,12229
2024-12-01,4413,"Automotive parts, acc., and tire stores",10908
2024-12-01,"442,443","Furniture, home furn, electronics, and appliance stores",23229
2024-12-01,442,Furniture and home furnishings stores,12683
2024-12-01,4421,Furniture stores,6789
2024-12-01,443,Electronics and appliance stores,10546
2024-12-01,443141,Household appliance stores,1771
2024-12-01,443142,Electronics stores,8775
2024-12-01,444,Building mat. and garden equip. and supplies dealers,37020
2024-12-01,4441,Building mat. and supplies dealers,32002
2024-12-01,44412,Paint and wallpaper stores,1149
2024-12-01,44413,Hardware stores,3382
2024-12-01,445,Food and beverage stores,90595
2024-12-01,4451,Grocery stores,78849
2024-12-01,44511,Supermarkets and other grocery (except convenience) stores,75734
2024-12-01,4453,"Beer, wine, and liquor stores",8017
2024-12-01,446,Health and personal care stores,42936
2024-12-01,44611,Pharmacies and drug stores,34672
2024-12-01,447,Gasoline stations,48385
2024-12-01,448,Clothing and clothing access. stores,41199
2024-12-01,4481,Clothing stores,27482
2024-12-01,44812,Women's clothing stores,3993
2024-12-01,44814,Family clothing stores,17010
2024-12-01,44819,Other clothing stores,2227
2024-12-01,4482,Shoe stores,4549
2024-12-01,451,"Sporting goods, hobby, musical instrument, and book stores",12030
2024-12-01,45111,Sporting goods stores,7073
2024-12-01,45112,"Hobby, toy, and game stores",2996
2024-12-01,451211,Book stores,1059
2024-12-01,452,General merchandise stores,93112
2024-12-01,4521,Department stores,16204
2024-12-01,452111,Department stores(excl. discount department stores),4547
2024-12-01,452112,Discount dept. stores,11657
2024-12-01,4529,Other general merchandise stores,76908
2024-12-01,45291,Warehouse clubs and superstores,65506
2024-12-01,45299,All other gen. merchandise stores,11402
2024-12-01,453,Miscellaneous store retailers,16298
2024-12-01,4532,"Office supplies, stationery, and gift stores",3042
2024-12-01,45321,Office supplies and stationery stores,635
2024-12-01,45322,"Gift, novelty, and souvenir stores",2407
2024-12-01,45330,Used merchandise stores,2139
2024-12-01,454,Nonstore retailers,157662
2024-12-01,4541,Electronic shopping and mail-order houses,147728
2024-12-01,45431,Fuel dealers,4626
2024-12-01,722,Food services and drinking places,97514
2024-12-01,7225,Restaurants and other eating places,87013
2024-12-01,"722513, 722514, 722515",Limited service eating places,42032
2024-11-01,no code,"Retail and food services sales, total",736461
2024-11-01,no code,Retail sales and food services excl motor vehicle and parts,602249
2024-11-01,no code,Retail sales and food services excl gasoline stations,687273
2024-11-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,553061
2024-11-01,no code,"Retail sales, total",641949
2024-11-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",507737
2024-11-01,no code,GAFO(1),144400
2024-11-01,441,Motor vehicle and parts dealers,134212
2024-11-01,"44,114,412",Automobile and other motor vehicle dealers,122931
2024-11-01,4411,Automobile dealers,116754
2024-11-01,44111,New car dealers,104327
2024-11-01,44112,Used car dealers,12427
2024-11-01,4413,"Automotive parts, acc., and tire stores",11281
2024-11-01,"442,443","Furniture, home furn, electronics, and appliance stores",21521
2024-11-01,442,Furniture and home furnishings stores,12580
2024-11-01,4421,Furniture stores,6729
2024-11-01,443,Electronics and appliance stores,8941
2024-11-01,443141,Household appliance stores,1807
2024-11-01,443142,Electronics stores,7134
2024-11-01,444,Building mat. and garden equip. and supplies dealers,40098
2024-11-01,4441,Building mat. and supplies dealers,35341
2024-11-01,44412,Paint and wallpaper stores,1272
2024-11-01,44413,Hardware stores,3516
2024-11-01,445,Food and beverage stores,86042
2024-11-01,4451,Grocery stores,76589
2024-11-01,44511,Supermarkets and other grocery (except convenience) stores,73585
